token,token_URIs,passage_URIs,SENTENCE,synset_URIs
fluvium,http://lila-erc.eu/data/corpora/digiliblt/id/corpus/dlt000368/CiteStructure/Versus_4438/Sentence_1/s13349t2,http://lila-erc.eu/data/corpora/digiliblt/id/corpus/dlt000368/CiteStructure/Versus_4438/Sentence_1,"Illum indignanti similem similemque minanti aspiceres, pontem auderet quia vellere Cocles et fluvium vinclis innaret Cloelia ruptis",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09434308-n
tectum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0005329,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_36/Paragraphus_7,"intellecturum quid invicti Germani, exercitatissimi in armis, qui inter annos XIIII tectum non subissent, virtute possent",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
domo,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0003874,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/SentenceLayer/Sentence_338,"Quid istuc est, mi vir, negoti, quod tu tam subito domo abeas?",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
domum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0009358,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/SentenceLayer/Sentence_991,"At pol qui certa res hanc est obiurgare, quae me hódie advenientem domum noluerit salutare",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
domum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/Plautus_Amphitruo_PlAmphi.BPN_t_0006158,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PlautusAmphitruo/SentenceLayer/Sentence_618,"Nego enim vero, et me advenire nunc primum aio ad te domum",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
domum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PropertiusPropertius%20Elegiae/Propertius_PropertiusElegiae_Propert1.BPN_t_0001018,http://lila-erc.eu/data/corpora/Lasla/id/corpus/PropertiusPropertius%20Elegiae/SentenceLayer/Liber_1/Sentence_49,tum grave servitium nostrae cogere puellae discere et exclusum quid sit abire domum,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
tectis,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen02.BPN_t_0003029,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_2/Sentence_364,"Instaurati animi, regis succurrere tectis, auxilioque levare viros, vimque addere victis",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
tecta,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen03.BPN_t_0000549,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_3/Sentence_521,"Iungimus hospitio dextras, et tecta subimus",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
domos,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen06.BPN_t_0003657,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_6/Sentence_1400,"An quae te Fortuna fatigat, ut tristes sine sole domos, loca turbida, adires?",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
tecta,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen07.BPN_t_0004511,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_7/Sentence_1709,"Ipse pedes, tegumen torquens immane leonis, terribili impexum saeta cum dentibus albis indutus capiti, sic regia tecta subibat, horridus, Herculeoque umeros innexus amictu",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
tecta,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen08.BPN_t_0002403,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_8/Sentence_1860,Talibus inter se dictis ad tecta subibant pauperis Euandri passimque armenta videbant Romanoque foro et lautis mugire Carinis,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03549540-n
oculos,http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Ira/Seneca_DeIra_SenIra2.BPN_t_0004669,http://lila-erc.eu/data/corpora/Lasla/id/corpus/SenecaDe%20Ira/SentenceLayer/Liber_2/Sentence_530,"Nihil nisi quod in oculos incurret manifestumque
erit credamus, et quotiens suspicio nostra vana

 
apparuerit, obiurgemus credulitatem",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/05318579-n
locum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0001284,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_10/Paragraphus_4,"Hostes, ubi et de expugnando oppido et de flumine transeundo spem se fefellisse intellexerunt neque nostros in locum iniquiorum progredi pugnandi causa viderunt atque ipsos res frumentaria deficere coepit, concilio convocato constituerunt optimum esse domum suam quemque reverti, et quorum in fines primum Romani exercitum introduxissent, ad eos defendendos undique convenirent, ut potius in suis quam in alienis finibus decertarent et domesticis copiis rei frumentariae uterentur",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08682181-n
partem,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0002665,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_21/Paragraphus_6,"Quam quisque ab opere in partem casu devenit quaeque prima signa conspexit, ad haec constitit, ne in quaerendis suis pugnandi tempus dimitteret",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08682181-n
locum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0002800,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_23/Paragraphus_2,Ipsi transire flumen non dubitaverunt et in locum iniquum progressi rursus resistentes hostes redintegrato proelio in fugam coniecerunt,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08682181-n
locum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0003418,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_27/Paragraphus_5,"ut non nequiquam tantae virtutis homines iudicari deberet ausos esse transire latissimum flumen, ascendere altissimas ripas, subire iniquissimum locum; quae facilia ex difficillimis animi magnitudo redegerat",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08682181-n
locum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG4.BPN_t_0002337,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_4/Capitulum_19/Paragraphus_2,"Suebos, postea quam per exploratores pontem fieri comperissent, more suo concilio habito nuntios in omnes partes dimisisse, uti de oppidis demigrarent, liberos, uxores suaque omnia in silvis deponerent atque omnes qui arma ferre possent unum in locum convenirent",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08682181-n
spatio,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen05.BPN_t_0001369,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_5/Sentence_1017,"Namque furens animi dum proram ad saxa suburguet interior, spatioque subit Sergestus iniquo, infelix saxis in procurrentibus haesit",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08682181-n
operta,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen06.BPN_t_0000973,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_6/Sentence_1262,"Sed non ante datur telluris operta subire, auricomos quam quis decerpserit arbore fetus",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08682181-n
corpora,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0001253,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_10/Paragraphus_3,"per eorum corpora reliquos audacissime transire conantes multitudine telorum reppulerunt primosque, qui transierant, equitatu circumventos interfecerunt",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/05225393-n
res,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Amicitia/Cicero_DeAmicitia_CicAmici.BPN_t_0001661,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroDe%20Amicitia/SentenceLayer/Sentence_65,"nihil est enim tam naturae aptum, tam conveniens ad res vel secundas vel adversas. sed hoc primum sentio",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/13950416-n
rebus,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen11.BPN_t_0002258,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_11/Sentence_2723,Consulite in medium et rebus succurrite fessis,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/13950416-n
convivio,http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0010420,http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/SentenceLayer/Liber_1/Sentence_444,sed haud secus discrimine senatus quam suo territus et praefectos praetorii ad mitigandas militum iras statim miserat et abire propere omnis e convivio iussit,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/07593658-n
portae,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen09.BPN_t_0003876,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_9/Sentence_2198,"Ilioneus saxo atque ingenti fragmine montis Lucetium portae subeuntem ignisque ferentem, Emathiona Liger, Corynaeum sternit Asilas, hic iaculo bonus, hic longe fallente sagitta, Ortygium Caeneus, victorem Caenea Turnus, Turnus Ityn Cloniumque, Dioxippum Promolumque et Sagarim et summis stantem pro turribus Idan, Privernum Capys",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/03432206-n
scopulos,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen05.BPN_t_0005840,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_5/Sentence_1218,"Iamque adeo scopulos Sirenum advecta subibat, difficiles quondam multorumque ossibus albos, tum rauca adsiduo longe sale saxa sonabant",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/09269370-n
oppidum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0001594,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_12/Paragraphus_4,Interim omnis ex fuga Suessionum multitudo in oppidum proxima nocte convenit,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbe,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20Catilinam/Cicero_InCatilinam_CicCat1.BPN_t_0000984,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20Catilinam/SentenceLayer/Liber_1/Sentence_53,egredere aliquando ex urbe,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbe,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20Catilinam/Cicero_InCatilinam_CicCat1.BPN_t_0002087,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20Catilinam/SentenceLayer/Liber_1/Sentence_108,"egredere ex urbe, Catilina, libera rem publicam metu, in exsilium, si hanc vocem exspectas, proficiscere",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbe,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20Catilinam/Cicero_InCatilinam_CicCat2.BPN_t_0000373,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CiceroIn%20Catilinam/SentenceLayer/Liber_2/Sentence_16,"quem quidem ego hostem, Quirites, quam vehementer foris esse timendum putem, licet hinc intellegatis, quodquod pauci mei etiam moleste fero quod ex urbe parum comitatus exierit",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbe,http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusCatilina/Sallustius_Catilina_SalCatil.BPN_t_0006534,http://lila-erc.eu/data/corpora/Lasla/id/corpus/SallustiusCatilina/CiteStructure/Capitulum_46/Paragraphus_4,"Caeparius, paulo ante domo egressus, cognito indicio ex urbe profugerat",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbem,http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/Tacitus_TacHistoriae_TacHist1.BPN_t_0004717,http://lila-erc.eu/data/corpora/Lasla/id/corpus/TacitusTac%20Historiae/SentenceLayer/Liber_1/Sentence_197,"his auspiciis urbem ingressus, quam gloriam ad principatum attulit nisi occisi Obultronii Sabini et Cornelii Marcelli in Hispania, Betui Cilonis in Gallia, Fontei Capitonis in Germania, Clodii Macri in Africa, Cingonii in via, Turpiliani in urbe, Nymphidii in castris?",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbem,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen01.BPN_t_0002705,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_1/Sentence_112,"Quisquis es, haud, credo, invisus caelestibus auras vitalis carpis, Tyriam qui adveneris urbem",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbi,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen02.BPN_t_0002373,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_2/Sentence_329,succurritis urbi incensae,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
urbe,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen02.BPN_t_0004844,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_2/Sentence_460,"Est urbe egressis tumulus templumque vetustum desertae Cereris, iuxtaque antiqua cupressus religione patrum multos servata per annos",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08542298-n
finibus,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000207,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_2/Paragraphus_1,Pisone consulibus regni cupiditate inductus coniurationem nobilitatis fecit et civitati persuasit ut de finibus suis cum omnibus copiis exirent,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
finibus,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000611,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_5/Paragraphus_1,"Post eius mortem nihilo minus Helvetii id quod constituerant facere conantur, ut e finibus suis exeant",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
agrum,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000694,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_5/Paragraphus_4,"Persuadent Rauracis et Tulingis et Latobrigis finitimis, uti eodem usi consilio oppidis suis vicisque exustis una cum iis proficiscantur, Boiosque, qui trans Rhenum incoluerant et in agrum Noricum transierant Noreiamque oppugnabant, receptos ad se socios sibi adsciscunt",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
fines,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0001375,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_11/Paragraphus_1,Helvetii iam per angustias et fines Sequanorum suas copias traduxerant et in Haeduorum fines pervenerant eorumque agros populabantur,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
fines,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0003663,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_26/Paragraphus_5,"in fines Lingonum die quarto pervenerunt, cum et propter vulnera militum et propter sepulturam occisorum nostri [triduum morati] eos sequi non potuissent",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
civitate,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0004412,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_31/Paragraphus_9,"Ob eam rem se ex civitate profugisse et Romam ad senatum venisse auxilium postulatum, quod solus neque iure iurando neque obsidibus teneretur",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
fines,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG2.BPN_t_0000209,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_2/Capitulum_2/Paragraphus_6,Re frumentaria provisa castra movet diebusque circiter XV ad fines Belgarum pervenit,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
fines,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG3.BPN_t_0002119,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_3/Capitulum_17/Paragraphus_1,Titurius Sabinus cum iis copiis quas a Caesare acceperat in fines Venellorum pervenit,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
civitates,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG4.BPN_t_0002670,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_4/Capitulum_21/Paragraphus_8,Huic imperat quas possit adeat civitates horteturque ut populi Romani fidem sequantur seque celeriter eo venturum nuntiet,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
agros,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/Vergilius_Aeneis_VerAen08.BPN_t_0003284,http://lila-erc.eu/data/corpora/Lasla/id/corpus/VergiliusAeneis/SentenceLayer/Liber_8/Sentence_1911,Ille inter caedem Rutulorum elapsus in agros confugere et Turni defendier hospitis armis,http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08562388-n
pericula,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0000654,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_5/Paragraphus_3,"frumentum omne, praeter quod secum portaturi erant, comburunt, ut domum reditionis spe sublata paratiores ad omnia pericula subeunda essent",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/14565454-n
partes,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/Caesar_BellumGallicum_CaesBG1.BPN_t_0001531,http://lila-erc.eu/data/corpora/Lasla/id/corpus/CaesarBellum%20Gallicum/CiteStructure/Liber_1/Capitulum_12/Paragraphus_2,"Ubi per exploratores Caesar certior factus est tres iam partes copiarum Helvetios id flumen traduxisse, quartam vero partem citra flumen Ararim reliquam esse, de tertia vigilia cum legionibus tribus e castris profectus ad eam partem pervenit quae nondum flumen transierat",http://lila-erc.eu/data/lexicalResources/LatinWordNet/id/LexicalConcept/08230126-n
